timestamp,open,low,high,close,volume
2022-07-25,109,109,113,109,0
2022-07-26,109,109,113,109,16311600
2022-07-27,102,102,102,102,8788500
2022-07-28,95,95,118,107,224365900
2022-07-29,107,101,112,102,55226800
2022-08-01,102,99,105,100,29149000
2022-08-02,99,93,102,95,39008600
2022-08-03,95,89,99,92,35895100
2022-08-04,86,86,93,90,23151300
2022-08-05,90,89,112,107,265427700
2022-08-08,108,100,110,100,67855500
2022-08-09,100,96,101,99,24510500
2022-08-10,99,96,100,98,11037500
2022-08-11,98,98,127,123,269939200
2022-08-12,126,115,133,116,250860400
2022-08-15,116,116,126,123,98275000
2022-08-16,124,120,128,122,94099000
2022-08-17,124,120,128,122,0
2022-08-18,124,119,126,124,56612900
2022-08-19,127,124,161,161,201583400
2022-08-22,163,150,210,206,357839800
2022-08-23,210,194,234,218,330174700
2022-08-24,216,204,226,216,154378400
2022-08-25,218,206,270,270,269280200
2022-08-26,272,252,300,252,135001500
2022-08-29,236,236,254,236,62380500
2022-08-30,224,220,240,220,76393700
2022-08-31,220,214,244,234,122905500
2022-09-01,234,230,280,266,178361500
2022-09-02,264,258,312,284,273451400
2022-09-05,282,276,340,330,202555600
2022-09-06,330,312,340,322,126402700
2022-09-07,322,300,374,360,136310400
2022-09-08,356,350,384,368,72560900
2022-09-09,366,344,374,344,64631600
2022-09-12,320,320,326,320,24059200
2022-09-13,338,298,338,330,85400900
2022-09-14,330,326,354,352,93166500
2022-09-15,358,328,362,328,77714900
2022-09-16,328,306,352,352,64219300
2022-09-19,352,346,370,370,60001200
2022-09-20,370,346,384,346,40810900
2022-09-21,336,322,344,322,38860600
2022-09-22,312,300,328,312,110184700
2022-09-23,312,308,318,314,28445300
2022-09-26,314,306,328,328,38743500
2022-09-27,330,306,340,306,66721900
2022-09-28,302,286,302,286,31114800
2022-09-29,294,266,294,266,9033900
2022-09-30,250,248,270,270,59792600
2022-10-03,266,252,274,252,51943800
2022-10-04,244,236,254,240,21384300
2022-10-05,230,228,252,252,51529200
2022-10-06,254,242,288,282,130747900
2022-10-07,286,272,300,294,108275600
2022-10-10,298,280,300,292,26438900
2022-10-11,290,272,308,306,77114200
2022-10-12,306,286,312,286,58088100
2022-10-13,280,266,334,324,129500300
2022-10-14,324,302,340,324,83834500
2022-10-17,322,302,326,302,34863800
2022-10-18,300,282,300,282,19055500
2022-10-19,278,268,294,294,47869300
2022-10-20,296,282,316,316,74330600
2022-10-21,316,302,366,356,137863000
2022-10-24,356,332,358,332,44799000
2022-10-25,326,312,326,324,34630900
2022-10-26,322,316,404,404,245833800
2022-10-27,404,376,420,388,53557700
2022-10-28,388,362,402,362,65139900
2022-10-31,342,338,364,338,31857800
2022-11-01,330,316,336,316,16992800
2022-11-02,314,294,322,316,86031100
2022-11-03,320,306,376,306,195614700
2022-11-04,306,296,368,360,170415100
2022-11-07,392,376,438,436,0
2022-11-08,392,376,438,436,0
2022-11-09,392,376,438,436,0
2022-11-10,392,376,438,436,130538300
2022-11-11,436,414,442,422,44357200
2022-11-14,422,400,430,420,30482700
2022-11-15,420,392,422,392,52989700
2022-11-16,398,376,440,422,105870000
2022-11-17,422,414,456,456,101419200
2022-11-18,458,426,496,426,123453600
2022-11-21,422,400,426,408,23657200
2022-11-22,410,394,420,394,60263700
2022-11-23,398,392,424,420,112994000
2022-11-24,426,420,440,440,52355400
2022-11-25,436,436,474,474,122304300
2022-11-28,478,470,520,520,88471200
2022-11-29,525,505,530,520,46249400
2022-11-30,520,484,520,520,61790300
2022-12-01,520,484,520,520,0
2022-12-02,545,505,550,505,31628200
2022-12-05,498,472,498,472,15905000
2022-12-06,472,454,474,464,17320300
2022-12-07,462,432,472,456,35573100
2022-12-08,456,450,470,456,30117200
2022-12-09,456,450,468,468,27743300
2022-12-12,474,462,510,510,101675000
2022-12-13,510,500,520,510,29272100
2022-12-14,510,505,515,515,26559300
2022-12-15,515,480,525,480,65712800
2022-12-16,482,448,482,448,12957300
2022-12-19,440,418,446,418,21755500
2022-12-20,390,390,505,496,152959400
2022-12-21,494,490,555,540,104777000
2022-12-22,550,525,565,565,51851900
2022-12-23,565,540,595,590,39927900
2022-12-26,590,550,610,550,26783600
2022-12-27,515,515,595,585,39460400
2022-12-28,595,545,625,545,33089200
2022-12-29,545,510,570,545,29570700
2022-12-30,545,510,580,510,39009900
2023-01-02,515,500,570,550,50973000
2023-01-03,555,515,565,515,23970000
2023-01-04,520,480,520,480,11861500
2023-01-05,480,448,480,448,18516000
2023-01-06,446,418,464,418,24128500
